Start,Duration,Class of Type,Event Type,Kind of Object,Event Object,Comment,Tag,Status
2021-08-12 21:00,30,Unclassified,Connect,Unclassified,Partner,"Taylor’s 33 minute voice note on his life 
Hygiene wind down",,Done
2021-08-12 21:30,30,Unclassified,Consume,Unclassified,Books,We are not born submissive ,,Done
2021-08-12 22:00,30,Unclassified,Connect,Unclassified,Partner,Tiffany 85’s vaccine hesitancy,,Done
2021-08-12 22:30,510,Unclassified,Circadian,Unclassified,,,,Done
2021-08-13 07:00,30,Unclassified,Consume,Unclassified,Podcast,BBC world news,,Done
2021-08-13 07:30,30,Unclassified,Consume,Unclassified,Podcast,Pod save America ,,Done
2021-08-13 08:00,30,Unclassified,Care,Unclassified,Hygiene,,,Done
2021-08-13 08:30,30,Unclassified,Create,Unclassified,Cooking,"Fried rice, fried egg
Pod save America ",,Done
2021-08-13 09:00,30,Unclassified,Connect,Unclassified,Partner,Breakfast with Taylor,,Done
2021-08-13 09:30,30,Unclassified,Connect,Unclassified,Partner,Sex,,Done
2021-08-13 10:00,30,Unclassified,Career,Unclassified,Governance,,,Done
2021-08-13 10:30,150,Unclassified,Consume,Unclassified,Magazine,"Fast Company
Stock research ",,Done
2021-08-13 13:00,60,Unclassified,Career,Unclassified,Meeting,,,Done
2021-08-13 14:00,30,Unclassified,Create,Unclassified,Cooking,Lunch,,Done
2021-08-13 14:30,30,Unclassified,Connect,Unclassified,Partner,,,Done
2021-08-13 15:00,30,Unclassified,Connect,Unclassified,Partner,Sex,,Done
2021-08-13 15:30,30,Unclassified,Career,Unclassified,Governance,"Slack and emails
Aampe contract and payments",,Done
2021-08-13 16:00,30,Unclassified,Consume,Unclassified,Podcast,"Pod save America 
Packing",,Done
2021-08-13 16:30,30,Unclassified,Consume,Unclassified,Books,Property,,Done
2021-08-13 17:00,30,Unclassified,Connect,Unclassified,Partner,Reading the article ,,Done
2021-08-13 17:30,30,Unclassified,Care,Unclassified,Swimming,,,Done
2021-08-13 18:00,30,Unclassified,Connect,Unclassified,Partner,Shower and more article related edits ,,Done
2021-08-13 18:30,30,Unclassified,Consume,Unclassified,Books,"We are not born submissive
Transit to Clementi ",,Done
2021-08-13 19:00,30,Unclassified,Consume,Unclassified,Books,"Property

Transit to Clementi ",,Done
2021-08-13 19:30,30,Unclassified,Connect,Unclassified,Partner,Grocery and settle in,,Done
2021-08-13 20:00,30,Unclassified,Create,Unclassified,Cooking,Meal prep: roasted vegetables ,,Done
2021-08-13 20:30,30,Unclassified,Consume,Unclassified,Podcast,Clean up ,,Done
2021-08-13 21:00,30,Unclassified,Consume,Unclassified,Podcast,"Vox conversations 
Clean up",,Done
2021-08-13 21:30,30,Unclassified,Connect,Unclassified,Partner,Massage and Sex,,Done
2021-08-13 22:00,90,Unclassified,Connect,Unclassified,Partner,STOCK RESEARCH,,Done
2021-08-13 23:30,30,Unclassified,Connect,Unclassified,Partner,Chili cuddling,,Done
2021-08-14 00:00,210,Unclassified,Circadian,Unclassified,,,,Done
2021-08-14 03:30,30,Unclassified,Connect,Unclassified,Partner,Chili cuddles ,,Done
2021-08-14 04:00,210,Unclassified,Circadian,Unclassified,,,,Done
2021-08-14 07:30,30,Unclassified,Connect,Unclassified,Partner,Sex,,Done
2021-08-14 08:00,30,Unclassified,Connect,Unclassified,Partner,Laundry and Getting ready to run,,Done
2021-08-14 08:30,30,Unclassified,Care,Unclassified,Running,,,Done
2021-08-14 09:00,30,Unclassified,Connect,Unclassified,Partner,Post-run cool down and finding breakfast,,Done
2021-08-14 09:30,30,Unclassified,Connect,Unclassified,Partner,Breakfast at the Hawker!,,Done
2021-08-14 10:00,60,Unclassified,Connect,Unclassified,Partner,GDP discussion ,,Done
2021-08-14 11:00,30,Unclassified,Consume,Unclassified,Podcast,"Ezra Klein Podcast
Laundry",,Done
2021-08-14 11:30,30,Unclassified,Connect,Unclassified,Partner,"Sex, Blowjob, Shower",,Done
2021-08-14 12:00,30,Unclassified,Consume,Unclassified,Podcast,"Ezra Klein Podcast
Phone fiddling ",,Done
2021-08-14 12:30,30,Unclassified,Consume,Unclassified,Mobile,"Editing Taylor’s Doc
Black hole Spiral",,Done
2021-08-14 13:00,30,Unclassified,Consume,Unclassified,Books,Property,,Done
2021-08-14 13:30,30,Unclassified,Consume,Unclassified,Books,We are not born submissive ,,Done
2021-08-14 14:00,30,Unclassified,Consume,Unclassified,Books,Property,,Done
2021-08-14 14:30,30,Unclassified,Connect,Unclassified,Partner,Lunch ,,Done
2021-08-14 15:00,30,Unclassified,Connect,Unclassified,Partner,"Lunch: Fried Rice
Kitchen Table Poly Discussion",,Done
2021-08-14 15:30,30,Unclassified,Connect,Unclassified,Partner,Meal clean up and Yogurt Making,,Done
2021-08-14 16:00,30,Unclassified,Consume,Unclassified,Books,,,Done
2021-08-14 16:30,30,Unclassified,Connect,Unclassified,Partner,Sex on a rainy afternoon ,,Done
2021-08-14 17:00,30,Unclassified,Consume,Unclassified,Podcast,"BBC World News 
Transit Clementi to Fernvale Link",,Done
2021-08-14 17:30,30,Unclassified,Consume,Unclassified,Podcast,"BBC world news
Transit Clementi to Fernvale Link",,Done
2021-08-14 18:00,30,Unclassified,Consume,Unclassified,Podcast,"Keep It
Transit Clementi to Fernvale Link",,Done
2021-08-14 18:30,120,Unclassified,Connect,Unclassified,Friends,"Dinner with Mark, Barb and Chaps",,Done
2021-08-14 20:30,120,Unclassified,Consume,Unclassified,YouTube,"House tours with Mark, Barb and Chaps",,Done
2021-08-14 22:30,30,Unclassified,Consume,Unclassified,Podcast,"Keep it
Transit Fernvale link to Home",,Done
2021-08-14 23:00,510,Unclassified,Circadian,Unclassified,,,,Done
2021-08-15 07:30,30,Unclassified,Consume,Unclassified,Mobile,"Duolingo, Calm",,Done
2021-08-15 08:00,30,Unclassified,Consume,Unclassified,Podcast,Hysteria ,,Done
2021-08-15 08:30,90,Unclassified,Care,Unclassified,Walking,"5KM walk with Pamy
Botanic Gardens",,Done
2021-08-15 10:00,30,Unclassified,Connect,Unclassified,Family,Killiney Coffee with Pamy,,Done
2021-08-15 10:30,30,Unclassified,Care,Unclassified,Hygiene,,,Done
2021-08-15 11:00,30,Unclassified,Connect,Unclassified,Family,Breakfast with Pamy,,Done
2021-08-15 11:30,30,Unclassified,Consume,Unclassified,YouTube,Olympic diving binge with Pamy,,Done
2021-08-15 12:00,90,Unclassified,Consume,Unclassified,Movies ,"Hallmark: Christmas in Vienna
With Pamy and Ed",,Done
